Materia,ID
- LITERATURA ARGENTINA-ENSAYO-ANTOLOGIA,131
 PSICOLOGIA,132
 DICCIONARIO,133
 HISTORIA-ARGENTINA,134
- LITERATURA ARGENTINA-ANTOLOGIA,135
 DICCIONARIO INFANTIL,136
 PERSONALIDAD PSICOLOGIA FETICHISMO PSICOLOGIA,137
CAPDEVILA AUTOBIOGRAFIAS-CAPDEVILA ARTURO MEMORIAS,138
- LITERATURA ARGENTINA-CRONICA HISTORICA,139
 DICCIONARIO ENCICLOPEDICO,140
 BIOGRAFIAS-ARGENTINA,141
 INFORMATICA,142
 SOCIOLOGIA DEL ARTE SOCIOLOGIA DE LA LITERATURA CINE Y LITERATURA CINE Y ARTE,143
 FILOSOFIA-HISTORIA,144
HERACLITO FILOSOFIA-HERACLITO DE EFESO  - aC,145
- LITERATURA ALEMANA-NOVELA,146
 TANGO,147
  SEXO ETNOLOGIA MUJERES,148
 SEXO ETNOLOGIA,149
 PREHISTORIA,150
 HISTORIA ANTIGUA,151
 HISTORIA CONTEMPORANEA,152
 HISTORIA-EUROPA,153
 HISTORIA-ROMA ANTIGUA,154
 HISTORIA-EUROPA-,155
 HISTORIA MEDIEVAL Y MODERNA,156
 CULTURA-LATINOAMERICA-HASTA SXVI CULTURA PRECOLOMBINA,157
 DOCTRINAS ECONOMIA,158
 PRAGMATISMO FILOSOFIA,159
JASPERS  FILOSOFIA-JASPERS KARL - EXISTENCIALISMO FILOSOFIA,160
 HISTORIA MODERNA HISTORIA CONTEMPORANEA,161
 HISTORIA MODERNA-TEXTO SECUNDARIO HISTORIA CONTEMPORANEA-TEXTO SECUNDARIO,162
 PSICOLOGIA SOCIAL-ARGENTINA,163
 MUJERES-LATINOAMERICA,164
 FAMILIA ETNOLOGIA,165
 MUJERES-TRABAJO,166
 MUJERES,167
 PSICOANALISIS,168
- LITERATURA ESPAÑOLA-CUENTO,169
- LITERATURA MEXICANA-POESIA,170
BORGES BIOGRAFIAS-BORGES JORGE LUIS -,171
- LITERATURA CHECA-CUENTO,172
KANT FILOSOFIA-KANT IMMANUEL -,173
 HISTORIA-BUENOS AIRES PLAZAS-BUENOS AIRES-HISTORIA MONUMENTOS-BUENOS AIRES-HISTORIA ESCULTURA-BUENOS AIRES-HISTORIA,174
 ETNOLOGIA,175
  FISICA-TEXTO SECUNDARIO QUIMICA-TEXTO SECUNDARIO,176
 FISICA -TEXTO SECUNDARIO,177
 FISICA-TEXTO SECUNDARIO,178
 CULTURA,179
 PSICOANALISIS-FREUD SIGMUND -,180
 MANUAL NIVEL PRIMARIO- GRADO,181
 MODISMOS-ARGENTINA-DICCIONARIO ESPAÑOL-MODISMOS HIPISMO-MODISMOS-ARGENTINA-DICCIONARIO MODISMOS-ARGENTINA-HIPISMO-DICCIONARIO,182
- LITERATURA CUBANA-POESIA,183
 ESPAÑOL-RIMA-DICCIONARIO RIMA-ESPAÑOL-DICCIONARIO,184
 ESPAÑOL-CONJUGACION-DICCIONARIO,185
 ESPAÑOL-ETIMOLOGIA-DICCIONARIO ETIMOLOGIA-ESPAÑOL-DICCIONARIO,186
 ESPAÑOL-ETIMOLOGIA-DICCIONARIO,187
 ESPAÑOL-METRICA-DICCIONARIO METRICA-ESPAÑOL-DICCIONARIO,188
 ESPAÑOL-PARONIMOS-DICCIONARIO,189
 CASTELLANO-TEXTO SECUNDARIO LITERATURA -TEXTO SECUNDARIO COMUNICACION-TEXTO SECUNDARIO,190
 LENGUA -TEXTO SECUNDARIO LITERATURA -TEXTO SECUNDARIO COMUNICACION-TEXTO SECUNDARIO,191
 LENGUA -TEXTO SECUNDARIO COMUNICACION-TEXTO SECUNDARIO LITERATURA -TEXTO SECUNDARIO,192
 BIOLOGIA-TEXTO SECUNDARIO,193
